"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify login fails with invalid username","513","testInvalidUsername","Surefire suite","Mon Sep 01 14:28:29 UTC 2025","passed","Mon Sep 01 14:28:30 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testInvalidUsername"
"Verify checkout validation - empty first name","855","testCheckoutValidationEmptyFirstName","Surefire suite","Mon Sep 01 14:28:57 UTC 2025","passed","Mon Sep 01 14:28:58 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutValidationEmptyFirstName"
"Verify checkout cancel functionality","661","testCheckoutCancel","Surefire suite","Mon Sep 01 14:28:54 UTC 2025","passed","Mon Sep 01 14:28:55 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutCancel"
"Verify complete checkout process with multiple items","1093","testCompleteCheckoutMultipleItems","Surefire suite","Mon Sep 01 14:29:02 UTC 2025","passed","Mon Sep 01 14:29:03 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCompleteCheckoutMultipleItems"
"Verify single item in cart","585","testSingleItemInCart","Surefire suite","Mon Sep 01 14:28:53 UTC 2025","passed","Mon Sep 01 14:28:53 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testSingleItemInCart"
"Verify order summary calculations","942","testOrderSummary","Surefire suite","Mon Sep 01 14:29:05 UTC 2025","passed","Mon Sep 01 14:29:06 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testOrderSummary"
"Verify checkout with empty cart","414","testCheckoutWithEmptyCart","Surefire suite","Mon Sep 01 14:29:01 UTC 2025","passed","Mon Sep 01 14:29:01 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutWithEmptyCart"
"Verify login fails with invalid password","490","testInvalidPassword","Surefire suite","Mon Sep 01 14:28:28 UTC 2025","passed","Mon Sep 01 14:28:28 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testInvalidPassword"
"Verify adding multiple products to cart","591","testAddMultipleProductsToCart","Surefire suite","Mon Sep 01 14:28:39 UTC 2025","passed","Mon Sep 01 14:28:40 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testAddMultipleProductsToCart"
"Verify login with problem user (visual issues)","434","testProblemUserLogin","Surefire suite","Mon Sep 01 14:28:38 UTC 2025","passed","Mon Sep 01 14:28:38 UTC 2025","com.isaac.ecommerce_test_framework.tests.LoginTests","Surefire test","com.isaac.ecommerce_test_framework.tests.LoginTests","testProblemUserLogin"
"Verify product sorting functionality","474","testProductSorting","Surefire suite","Mon Sep 01 14:28:44 UTC 2025","passed","Mon Sep 01 14:28:44 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testProductSorting"
"Verify checkout overview cancel functionality","998","testCheckoutOverviewCancel","Surefire suite","Mon Sep 01 14:28:55 UTC 2025","passed","Mon Sep 01 14:28:56 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutOverviewCancel"
"Verify cart persistence when navigating","716","testCartPersistence","Surefire suite","Mon Sep 01 14:28:42 UTC 2025","passed","Mon Sep 01 14:28:42 UTC 2025","com.isaac.ecommerce_test_framework.tests.ProductTests","Surefire test","com.isaac.ecommerce_test_framework.tests.ProductTests","testCartPersistence"
"Verify checkout validation - empty last name","882","testCheckoutValidationEmptyLastName","Surefire suite","Mon Sep 01 14:28:58 UTC 2025","passed","Mon Sep 01 14:28:59 UTC 2025","com.isaac.ecommerce_test_framework.tests.CheckoutTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CheckoutTests","testCheckoutValidationEmptyLastName"
"Verify removing item from cart","700","testRemoveItemFromCart","Surefire suite","Mon Sep 01 14:28:52 UTC 2025","passed","Mon Sep 01 14:28:52 UTC 2025","com.isaac.ecommerce_test_framework.tests.CartTests","Surefire test","com.isaac.ecommerce_test_framework.tests.CartTests","testRemoveItemFromCart"
